director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Brie Larson,Brie Larson,Samuel L. Jackson,Joan Cusack,Fantasy Drama Comedy,unicorn store,Brie Larson Samuel L. Jackson Joan Cusack Brie Larson Fantasy Drama Comedy
Daniel Farrands,Hilary Duff,Jonathan Bennett,Lydia Hearst,Horror Thriller,the haunting of sharon tate,Hilary Duff Jonathan Bennett Lydia Hearst Daniel Farrands Horror Thriller
Emma Tammi,Caitlin Gerard,Ashley Zukerman,Julia Goldani Telles,Drama War Romance,the wind,Caitlin Gerard Ashley Zukerman Julia Goldani Telles Emma Tammi Drama War Romance
John R. Leonetti,Kiernan Shipka,Stanley Tucci,Miranda Otto,Horror Drama Thriller Fantasy,the silence,Kiernan Shipka Stanley Tucci Miranda Otto John R. Leonetti Horror Drama Thriller Fantasy
Neil Marshall,David Harbour,Milla Jovovich,Ian McShane,Fantasy Action Adventure Science Fiction,hellboy,David Harbour Milla Jovovich Ian McShane Neil Marshall Fantasy Action Adventure Science Fiction
Tina Gordon,Issa Rae,Regina Hall,Marsai Martin,Thriller Crime,little,Issa Rae Regina Hall Marsai Martin Tina Gordon Thriller Crime
Chris Butler,Hugh Jackman,Zach Galifianakis,Zoe Saldana,Family Animation Comedy Adventure Fantasy,missing link,Hugh Jackman Zach Galifianakis Zoe Saldana Chris Butler Family Animation Comedy Adventure Fantasy
Jenny Gage,Josephine Langford,Hero Fiennes Tiffin,Selma Blair,Romance Drama,after,Josephine Langford Hero Fiennes Tiffin Selma Blair Jenny Gage Romance Drama
Alex Ross Perry,Elisabeth Moss,Cara Delevingne,Dan Stevens,Drama Music,her smell,Elisabeth Moss Cara Delevingne Dan Stevens Alex Ross Perry Drama Music
Roxann Dawson,Chrissy Metz,Josh Lucas,Topher Grace,Drama,breakthrough,Chrissy Metz Josh Lucas Topher Grace Roxann Dawson Drama
Alastair Fothergill,Alastair Fothergill (director),Jeff Wilson (co-director); Ed Helms,unknown,Family Animation Adventure Comedy,penguins,Alastair Fothergill (director) Jeff Wilson (co-director); Ed Helms unknown Alastair Fothergill Family Animation Adventure Comedy
Michael Chaves,Linda Cardellini,Raymond Cruz,Patricia Velasquez,Horror Thriller,the curse of la llorona,Linda Cardellini Raymond Cruz Patricia Velasquez Michael Chaves Horror Thriller
David Robert Mitchell,Andrew Garfield,Riley Keough,Topher Grace,Crime Drama Mystery,under the silver lake,Andrew Garfield Riley Keough Topher Grace David Robert Mitchell Crime Drama Mystery
Laura Steinel,Taylor Schilling,Brian Tyree Henry,Bryn Vale,Animation Comedy Adventure Family,family,Taylor Schilling Brian Tyree Henry Bryn Vale Laura Steinel Animation Comedy Adventure Family
Julia Hart,Gugu Mbatha-Raw,Lorraine Toussaint,Saniyya Sidney,Thriller Drama Science Fiction,fast color,Gugu Mbatha-Raw Lorraine Toussaint Saniyya Sidney Julia Hart Thriller Drama Science Fiction
Jennifer Kaytin Robinson,Gina Rodriguez,Brittany Snow,DeWanda Wise,Comedy Romance,someone great,Gina Rodriguez Brittany Snow DeWanda Wise Jennifer Kaytin Robinson Comedy Romance
Meir Zarchi,Camille Keaton,Maria Olsen,Meir Zarchi,Horror Thriller,i spit on your grave: deja vu,Camille Keaton Maria Olsen Meir Zarchi Meir Zarchi Horror Thriller
Anthony and Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Adventure Science Fiction Action,avengers: endgame,Robert Downey Jr. Chris Evans Mark Ruffalo Anthony and Joe Russo Adventure Science Fiction Action
Josh Lobo,A. J. Bowen,Scott Poythress,Susan Burke,Horror,i trapped the devil,A. J. Bowen Scott Poythress Susan Burke Josh Lobo Horror
Roxanne Benjamin,Karina Fontes,Casey Adams,Emily Althaus,Thriller,body at brighton rock,Karina Fontes Casey Adams Emily Althaus Roxanne Benjamin Thriller
Tanya Wexler,Zoey Deutch,Jermaine Fowler,Judy Greer,Comedy Drama Romance,buffaloed,Zoey Deutch Jermaine Fowler Judy Greer Tanya Wexler Comedy Drama Romance
Jonathan Levine,Seth Rogen,Charlize Theron,O'Shea Jackson Jr.,Comedy Romance,long shot,Seth Rogen Charlize Theron O'Shea Jackson Jr. Jonathan Levine Comedy Romance
Deon Taylor,Dennis Quaid,Michael Ealy,Meagan Good,Thriller,the intruder,Dennis Quaid Michael Ealy Meagan Good Deon Taylor Thriller
Kelly Asbury,Kelly Clarkson,Pitbull,Nick Jonas,Family Animation Comedy Adventure Fantasy Music,uglydolls,Kelly Clarkson Pitbull Nick Jonas Kelly Asbury Family Animation Comedy Adventure Fantasy Music
Joe Berlinger,Zac Efron,Lily Collins,Kaya Scodelario,Thriller Crime Drama,"extremely wicked, shockingly evil and vile",Zac Efron Lily Collins Kaya Scodelario Joe Berlinger Thriller Crime Drama
William Bindley,KJ Apa,Maia Mitchell,Jacob Latimore,Romance Comedy,the last summer,KJ Apa Maia Mitchell Jacob Latimore William Bindley Romance Comedy
Rob Letterman,Ryan Reynolds,Justice Smith,Kathryn Newton,Action Adventure Fantasy,pokémon detective pikachu,Ryan Reynolds Justice Smith Kathryn Newton Rob Letterman Action Adventure Fantasy
Chris Addison,Anne Hathaway,Rebel Wilson,Alex Sharp,Comedy,the hustle,Anne Hathaway Rebel Wilson Alex Sharp Chris Addison Comedy
Dome Karukoski,Nicholas Hoult,Lily Collins,Colm Meaney,War Drama History Romance,tolkien,Nicholas Hoult Lily Collins Colm Meaney Dome Karukoski War Drama History Romance
Zara Hayes,Diane Keaton,Jacki Weaver,Pam Grier,Comedy Drama,poms,Diane Keaton Jacki Weaver Pam Grier Zara Hayes Comedy Drama
"P.B. Shemran (director, screenplay); Todd Komarnicki (screenplay); Mel Gibson, Sean Penn, Natalie Dormer, Eddie Marsan, Jennifer Ehle, David O'Hara, Ioan Gruffudd, Stephen Dillane, Steve Coogan",Mel Gibson,Sean Penn,Natalie Dormer,Drama History Mystery Thriller,the professor and the madman,"Mel Gibson Sean Penn Natalie Dormer P.B. Shemran (director, screenplay); Todd Komarnicki (screenplay); Mel Gibson, Sean Penn, Natalie Dormer, Eddie Marsan, Jennifer Ehle, David O'Hara, Ioan Gruffudd, Stephen Dillane, Steve Coogan Drama History Mystery Thriller"
Chad Stahelski,Keanu Reeves,Halle Berry,Laurence Fishburne,Action Thriller Crime,john wick: chapter 3 – parabellum,Keanu Reeves Halle Berry Laurence Fishburne Chad Stahelski Action Thriller Crime
Gail Mancuso,Dennis Quaid,Josh Gad,Marg Helgenberger,Family Adventure Drama,a dog's journey,Dennis Quaid Josh Gad Marg Helgenberger Gail Mancuso Family Adventure Drama
Ry Russo-Young,Yara Shahidi,Charles Melton,John Leguizamo,Romance Drama,the sun is also a star,Yara Shahidi Charles Melton John Leguizamo Ry Russo-Young Romance Drama
Wayne Roberts,Johnny Depp,Rosemarie DeWitt,Danny Huston,Drama History Mystery Thriller,the professor,Johnny Depp Rosemarie DeWitt Danny Huston Wayne Roberts Drama History Mystery Thriller
Joanna Hogg,Honor Swinton Byrne,Tom Burke,Tilda Swinton,Romance Drama,the souvenir,Honor Swinton Byrne Tom Burke Tilda Swinton Joanna Hogg Romance Drama
"Noble Jones (director, screenplay); John Lithgow, Blythe Danner, Derek Cecil, Katie Aselton, Sophie Thatcher, Eve Harlow",John Lithgow,Blythe Danner,Derek Cecil,Drama Romance,the tomorrow man,"John Lithgow Blythe Danner Derek Cecil Noble Jones (director, screenplay); John Lithgow, Blythe Danner, Derek Cecil, Katie Aselton, Sophie Thatcher, Eve Harlow Drama Romance"
Guy Ritchie,Mena Massoud,Will Smith,Naomi Scott,Adventure Fantasy Romance Family,aladdin,Mena Massoud Will Smith Naomi Scott Guy Ritchie Adventure Fantasy Romance Family
David Yarovesky,Elizabeth Banks,David Denman,Jackson A. Dunn,Horror Thriller Science Fiction,brightburn,Elizabeth Banks David Denman Jackson A. Dunn David Yarovesky Horror Thriller Science Fiction
Olivia Wilde,Kaitlyn Dever,Beanie Feldstein,Jessica Williams,Comedy,booksmart,Kaitlyn Dever Beanie Feldstein Jessica Williams Olivia Wilde Comedy
Richard Shepard,Allison Williams,Logan Browning,Steven Weber,Horror Thriller Drama,the perfection,Allison Williams Logan Browning Steven Weber Richard Shepard Horror Thriller Drama
Nahnatchka Khan,Ali Wong,Randall Park,Daniel Dae Kim,Romance Comedy,always be my maybe,Ali Wong Randall Park Daniel Dae Kim Nahnatchka Khan Romance Comedy
Michael Dougherty,Kyle Chandler,Vera Farmiga,Millie Bobby Brown,Science Fiction Action,godzilla: king of the monsters,Kyle Chandler Vera Farmiga Millie Bobby Brown Michael Dougherty Science Fiction Action
Dexter Fletcher,Taron Egerton,Jamie Bell,Richard Madden,Music Drama History,rocketman,Taron Egerton Jamie Bell Richard Madden Dexter Fletcher Music Drama History
Tate Taylor,Octavia Spencer,Juliette Lewis,Diana Silvers,Horror Thriller,ma,Octavia Spencer Juliette Lewis Diana Silvers Tate Taylor Horror Thriller
Simon Kinberg,James McAvoy,Michael Fassbender,Jennifer Lawrence,Science Fiction Action Adventure,dark phoenix,James McAvoy Michael Fassbender Jennifer Lawrence Simon Kinberg Science Fiction Action Adventure
Chris Renaud,Patton Oswalt,Eric Stonestreet,Kevin Hart,Adventure Animation Comedy Family,the secret life of pets 2,Patton Oswalt Eric Stonestreet Kevin Hart Chris Renaud Adventure Animation Comedy Family
Nisha Ganatra,Emma Thompson,Mindy Kaling,Max Casella,Comedy Drama,late night,Emma Thompson Mindy Kaling Max Casella Nisha Ganatra Comedy Drama
Joe Talbot,Jimmie Fails,Jonathan Majors,Danny Glover,Drama,the last black man in san francisco,Jimmie Fails Jonathan Majors Danny Glover Joe Talbot Drama
Seth Green,Breckin Meyer,Macaulay Culkin,Brenda Song,Comedy Drama,changeland,Breckin Meyer Macaulay Culkin Brenda Song Seth Green Comedy Drama
F. Gary Gray,Chris Hemsworth,Tessa Thompson,Kumail Nanjiani,Comedy Science Fiction,men in black: international,Chris Hemsworth Tessa Thompson Kumail Nanjiani F. Gary Gray Comedy Science Fiction
Tim Story,Samuel L. Jackson,Jessie Usher,Richard Roundtree,Action Crime,shaft,Samuel L. Jackson Jessie Usher Richard Roundtree Tim Story Action Crime
Jim Jarmusch,Bill Murray,Adam Driver,Tilda Swinton,Comedy Horror Fantasy,the dead don't die,Bill Murray Adam Driver Tilda Swinton Jim Jarmusch Comedy Horror Fantasy
Kyle Newacheck,Adam Sandler,Jennifer Aniston,Luke Evans,Comedy,murder mystery,Adam Sandler Jennifer Aniston Luke Evans Kyle Newacheck Comedy
"Jeff Chan, Andrew Rhymer",Maya Erskine,Jack Quaid,Beck Bennett,Romance Comedy Drama,plus one,"Maya Erskine Jack Quaid Beck Bennett Jeff Chan, Andrew Rhymer Romance Comedy Drama"
Miranda Bailey,Jim Gaffigan,Logan Miller,Samantha Mathis,Comedy,being frank,Jim Gaffigan Logan Miller Samantha Mathis Miranda Bailey Comedy
Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Family Adventure Animation Comedy Fantasy Drama,toy story 4,Tom Hanks Tim Allen Annie Potts Josh Cooley Family Adventure Animation Comedy Fantasy Drama
Luc Besson,Sasha Luss,Helen Mirren,Luke Evans,Thriller Action,anna,Sasha Luss Helen Mirren Luke Evans Luc Besson Thriller Action
Lars Klevberg,Aubrey Plaza,Gabriel Bateman,Brian Tyree Henry,Horror,child's play,Aubrey Plaza Gabriel Bateman Brian Tyree Henry Lars Klevberg Horror
Gary Dauberman,Mckenna Grace,Madison Iseman,Katie Sarife,Horror Thriller Mystery,annabelle comes home,Mckenna Grace Madison Iseman Katie Sarife Gary Dauberman Horror Thriller Mystery
Danny Boyle,Himesh Patel,Lily James,Ed Sheeran,Music Comedy Romance Fantasy,yesterday,Himesh Patel Lily James Ed Sheeran Danny Boyle Music Comedy Romance Fantasy
Claire McCarthy,Daisy Ridley,Naomi Watts,Clive Owen,Romance History,ophelia,Daisy Ridley Naomi Watts Clive Owen Claire McCarthy Romance History
Martin Owen,Tommy Flanagan,Rhyon Nicole Brown,Jessica Alba,Action Thriller Crime Mystery,killers anonymous,Tommy Flanagan Rhyon Nicole Brown Jessica Alba Martin Owen Action Thriller Crime Mystery
Jon Watts,Tom Holland,Samuel L. Jackson,Zendaya,Action Adventure Science Fiction,spider-man: far from home,Tom Holland Samuel L. Jackson Zendaya Jon Watts Action Adventure Science Fiction
John Herzfeld,Sylvester Stallone,Curtis Jackson,Dave Bautista,Action Thriller Crime,escape plan: the extractors,Sylvester Stallone Curtis Jackson Dave Bautista John Herzfeld Action Thriller Crime
Ari Aster,Florence Pugh,Jack Reynor,William Jackson Harper,Horror Drama Mystery,midsommar,Florence Pugh Jack Reynor William Jackson Harper Ari Aster Horror Drama Mystery
Michael Dowse,Kumail Nanjiani,Dave Bautista,Iko Uwais,Action Comedy Thriller Crime,stuber,Kumail Nanjiani Dave Bautista Iko Uwais Michael Dowse Action Comedy Thriller Crime
Alexandre Aja,Kaya Scodelario,Barry Pepper,unknown,Thriller Horror,crawl,Kaya Scodelario Barry Pepper unknown Alexandre Aja Thriller Horror
Joe Lynch,Frank Grillo,Anthony Mackie,Marcia Gay Harden,Action Thriller,point blank,Frank Grillo Anthony Mackie Marcia Gay Harden Joe Lynch Action Thriller
Lulu Wang,Awkwafina,Tzi Ma,Diana Lin,Comedy Drama,the farewell,Awkwafina Tzi Ma Diana Lin Lulu Wang Comedy Drama
Pollyanna Mcintosh,Pollyanna McIntosh,Cooper Andrews,Nora-Jane Noone,Horror Mystery,darlin',Pollyanna McIntosh Cooper Andrews Nora-Jane Noone Pollyanna Mcintosh Horror Mystery
Jon Favreau,Donald Glover,Seth Rogen,Chiwetel Ejiofor,Family Animation Drama,the lion king,Donald Glover Seth Rogen Chiwetel Ejiofor Jon Favreau Family Animation Drama
Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Comedy Drama Thriller,once upon a time in hollywood,Leonardo DiCaprio Brad Pitt Margot Robbie Quentin Tarantino Comedy Drama Thriller
Guy Nattiv,Jamie Bell,Danielle Macdonald,Daniel Henshall,Thriller Action Drama,skin,Jamie Bell Danielle Macdonald Daniel Henshall Guy Nattiv Thriller Action Drama
Gideon Raff,Chris Evans,Haley Bennett,Michael K. Williams,Drama Thriller History,the red sea diving resort,Chris Evans Haley Bennett Michael K. Williams Gideon Raff Drama Thriller History
David Leitch,Dwayne Johnson,Jason Statham,Idris Elba,Action Adventure Comedy,fast & furious presents: hobbs & shaw,Dwayne Johnson Jason Statham Idris Elba David Leitch Action Adventure Comedy
Shawn Ku,Nicolas Cage,Benjamin Bratt,unknown,Action Thriller Drama,a score to settle,Nicolas Cage Benjamin Bratt unknown Shawn Ku Action Thriller Drama
Yuval Adler,Diane Kruger,Martin Freeman,Cas Anvar,Drama Thriller,the operative,Diane Kruger Martin Freeman Cas Anvar Yuval Adler Drama Thriller
James Bobin,Isabela Moner,Eugenio Derbez,Michael Peña,Adventure Comedy Family,dora and the lost city of gold,Isabela Moner Eugenio Derbez Michael Peña James Bobin Adventure Comedy Family
Andrea Berloff,Melissa McCarthy,Tiffany Haddish,Elisabeth Moss,Action Crime Drama,the kitchen,Melissa McCarthy Tiffany Haddish Elisabeth Moss Andrea Berloff Action Crime Drama
Simon Curtis,Milo Ventimiglia,Amanda Seyfried,Kathy Baker,Comedy Drama Romance,the art of racing in the rain,Milo Ventimiglia Amanda Seyfried Kathy Baker Simon Curtis Comedy Drama Romance
André Øvredal,Zoe Colletti,Michael Garza,Gabriel Rush,Horror Thriller,scary stories to tell in the dark,Zoe Colletti Michael Garza Gabriel Rush André Øvredal Horror Thriller
"Tyler Nilson, Michael Schwartz",Shia LaBeouf,Dakota Johnson,John Hawkes,Adventure Drama Comedy,the peanut butter falcon,"Shia LaBeouf Dakota Johnson John Hawkes Tyler Nilson, Michael Schwartz Adventure Drama Comedy"
Bart Freundlich,Michelle Williams,Julianne Moore,Billy Crudup,Drama,after the wedding,Michelle Williams Julianne Moore Billy Crudup Bart Freundlich Drama
Casey Affleck,Casey Affleck,Anna Pniowsky,Tom Bower,Science Fiction Drama,light of my life,Casey Affleck Anna Pniowsky Tom Bower Casey Affleck Science Fiction Drama
Thurop Van Orman,Jason Sudeikis,Josh Gad,Leslie Jones,Animation Comedy Adventure Family,the angry birds movie 2,Jason Sudeikis Josh Gad Leslie Jones Thurop Van Orman Animation Comedy Adventure Family
Gene Stupnitsky,Jacob Tremblay,Brady Noon,Keith L. Williams,Comedy,good boys,Jacob Tremblay Brady Noon Keith L. Williams Gene Stupnitsky Comedy
Gurinder Chadha,Viveik Kalra,Kulvinder Ghir,Meera Ganatra,Drama Comedy,blinded by the light,Viveik Kalra Kulvinder Ghir Meera Ganatra Gurinder Chadha Drama Comedy
Richard Linklater,Cate Blanchett,Billy Crudup,Emma Nelson,Drama Comedy Mystery,"where'd you go, bernadette",Cate Blanchett Billy Crudup Emma Nelson Richard Linklater Drama Comedy Mystery
Johannes Roberts,John Corbett,Nia Long,Sophie Nelisse,Horror Drama Adventure,47 meters down: uncaged,John Corbett Nia Long Sophie Nelisse Johannes Roberts Horror Drama Adventure
William McGregor,Maxine Peake,Eleanor Worthington Cox,Richard Harrington,Drama Mystery Horror History,gwen,Maxine Peake Eleanor Worthington Cox Richard Harrington William McGregor Drama Mystery Horror History
"Matt Bettinelli-Olpin, Tyler Gillett",Samara Weaving,Adam Brody,Mark O'Brien,Horror Thriller Comedy,ready or not,"Samara Weaving Adam Brody Mark O'Brien Matt Bettinelli-Olpin, Tyler Gillett Horror Thriller Comedy"
Ric Roman Waugh,Gerard Butler,Morgan Freeman,Jada Pinkett Smith,Action Thriller,angel has fallen,Gerard Butler Morgan Freeman Jada Pinkett Smith Ric Roman Waugh Action Thriller
Paul Downs Colaizzo,Jillian Bell,Michaela Watkins,Utkarsh Ambudkar,Comedy Drama,brittany runs a marathon,Jillian Bell Michaela Watkins Utkarsh Ambudkar Paul Downs Colaizzo Comedy Drama
Alex Kendrick,Alex Kendrick,Priscilla Shirer,Ben Davies,Drama,overcomer,Alex Kendrick Priscilla Shirer Ben Davies Alex Kendrick Drama
David M. Rosenthal,Michael Ealy,Jesse Williams,Nicole Beharie,Drama Mystery Horror,jacob's ladder,Michael Ealy Jesse Williams Nicole Beharie David M. Rosenthal Drama Mystery Horror
Mike Gan,Tilda Cobham-Hervey,Suki Waterhouse,Harry Shum Jr.,Thriller,burn,Tilda Cobham-Hervey Suki Waterhouse Harry Shum Jr. Mike Gan Thriller
Gavin Hood,Keira Knightley,Matt Smith,Matthew Goode,Drama Thriller History,official secrets,Keira Knightley Matt Smith Matthew Goode Gavin Hood Drama Thriller History
Jacob Aaron Estes,Jacob Aaron Estes,Drew Daywalt (story); David Oyelowo,Storm Reid,Science Fiction Thriller Mystery Crime,don't let go,Jacob Aaron Estes Drew Daywalt (story); David Oyelowo Storm Reid Jacob Aaron Estes Science Fiction Thriller Mystery Crime
Micah Gallo,Bruce Davison,Denise Crosby,Elizabeth Roberts,Horror Thriller,itsy bitsy,Bruce Davison Denise Crosby Elizabeth Roberts Micah Gallo Horror Thriller
Fred Durst,John Travolta,Devon Sawa,Ana Golja,Crime Thriller,the fanatic,John Travolta Devon Sawa Ana Golja Fred Durst Crime Thriller
Andy Muschietti,James McAvoy,Jessica Chastain,Bill Hader,Horror Fantasy,it chapter two,James McAvoy Jessica Chastain Bill Hader Andy Muschietti Horror Fantasy
Chelsea Stardust,Hayley Griffith,Ruby Modine,Arden Myrin,Horror Comedy,satanic panic,Hayley Griffith Ruby Modine Arden Myrin Chelsea Stardust Horror Comedy
Ali LeRoi,Steven Silver,Nicola Peltz,unknown,Drama Thriller,the obituary of tunde johnson,Steven Silver Nicola Peltz unknown Ali LeRoi Drama Thriller
John Crowley,Ansel Elgort,Oakes Fegley,Aneurin Barnard,Drama,the goldfinch,Ansel Elgort Oakes Fegley Aneurin Barnard John Crowley Drama
